"Status","Name","Duration in ms","Description"
"passed","下拉刷新&频道性能.少儿页pmm-条数","3048","少儿页pmm-条数"
"passed","8-频道 个人点播跳转.个人播放分享到QQ空间share-字段值","3","个人播放分享到QQ空间share-字段值"
"passed","2播单-有广告.cdn1-条数","37","cdn1-条数"
"failed","9-频道 场景直播跳转.退出完成卡顿-字段","4","退出完成卡顿-字段"
"passed","4-我 页面跳转.邮箱登录pvs-字段","3","邮箱登录pvs-字段"
"passed","2播单-有广告.cdn1-字段","4","cdn1-字段"
"failed","6音乐片库.全部3list-字段","1","全部3list-字段"
"failed","付费影片.购买单片vip-字段名","2","购买单片vip-字段名"
"failed","14综艺-全部-中间页-相同系列.进入空间返回pvs-字段值","1","综艺推荐和搜索按钮搜索

进入空间返回pvs-字段值"
"failed","下拉刷新&频道性能.动漫页广告下拉刷新refresh-条数","32708","动漫页广告下拉刷新refresh-条数"
"passed","4-我 页面跳转.活动中心返回pvs-条数","8520","活动中心返回pvs-条数"
"passed","92-频道 点播页跳转.列表频道返回pvs-字段值","3","列表频道返回pvs-字段值"
"failed","2播单-有广告.切换下一个视频hb-条数","3039","切换下一个视频hb-条数"
"failed","5少儿片库.点击视频播放data-click-字段","2","点击视频播放data-click-字段"
"passed","93-频道 频道跳转.精选pvs-字段","4","精选pvs-字段"
"failed","12热门推荐搜索（加 图和文字）.热门推荐（图）action-条数","2","综艺推荐和搜索按钮搜索

热门推荐（图）action-条数"
"passed","97-其它.首页-播放记录pvs-条数","13114","首页-播放记录pvs-条数"
"failed","8-频道 个人点播跳转.分享到朋友圈share-字段值","4","分享到朋友圈share-字段值"
"failed","2播单-有广告.sdkload-字段值","4","sdkload-字段值"
"failed","1-点播.正片加载事件vl-字段","5","正片加载事件vl-字段"
"failed","下拉刷新&频道性能.纪录片页pmm-字段值","3","纪录片页pmm-字段值"
"passed","93-频道 频道跳转.电视剧pvs-字段","3","电视剧pvs-字段"
"failed","09高级筛选 1.10-30分钟view-字段值","1","综艺推荐和搜索按钮搜索

10-30分钟view-字段值"
"failed","9-频道 场景直播跳转.退出完成卡顿-字段值","4","退出完成卡顿-字段值"
"failed","14综艺-全部-中间页-相同系列.进入空间pvs-条数","2","综艺推荐和搜索按钮搜索

进入空间pvs-条数"
"failed","点播页.点播曝光relatepv-字段","4","点播曝光relatepv-字段"
"failed","7会员片库.7-10岁list-字段","2","7-10岁list-字段"
"passed","93-频道 频道跳转.少儿片库pvs-字段名","3","少儿片库pvs-字段名"
"failed","08直播.直播搜索view-字段值","2","直播搜索view-字段值"
"failed","09高级筛选 1.最热search-字段值","2","综艺推荐和搜索按钮搜索

最热search-字段值"
"failed","3电影片库.院线大片tag-select-字段名","1","院线大片tag-select-字段名"
"passed","93-频道 频道跳转.乐活pvs-字段","4","乐活pvs-字段"
"failed","3电影片库.华语强档tag-select-字段","1","华语强档tag-select-字段"
